_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5d817a8df9af8b7830aa66d0,0039,"Sun, 01 Sep 2019 16:56:18 GMT","Sun, 01 Sep 2019 17:35:38 GMT","Sun, 01 Sep 2019 17:26:26 GMT",0.747,2_39_125_21_2019-09-01 16:56:17.548838,0002,CA-311,2-39-125-21,America/Los_Angeles,null,null
5d817a8df9af8b7830aa66d1,0039,"Sun, 01 Sep 2019 17:18:44 GMT","Sun, 01 Sep 2019 18:51:16 GMT","Sun, 01 Sep 2019 18:03:47 GMT",1.983,2_39_131_30_2019-09-01 17:18:43.789002,0002,CA-305,2-39-131-30,America/Los_Angeles,000000891,"[{""WhPerMile"":500,""kWhRequested"":10.0,""milesRequested"":20,""minutesAvailable"":304,""modifiedAt"":""Sun, 01 Sep 2019 17:19:02 GMT"",""paymentRequired"":true,""requestedDeparture"":""Sun, 01 Sep 2019 22:22:44 GMT"",""userID"":891}]"
5d817a8df9af8b7830aa66d2,0039,"Sun, 01 Sep 2019 17:37:28 GMT","Sun, 01 Sep 2019 19:17:07 GMT","Sun, 01 Sep 2019 18:08:04 GMT",0.754,2_39_127_19_2019-09-01 17:37:28.398424,0002,CA-309,2-39-127-19,America/Los_Angeles,null,null
5d817a8df9af8b7830aa66d3,0039,"Sun, 01 Sep 2019 18:31:10 GMT","Sun, 01 Sep 2019 19:58:43 GMT","Sun, 01 Sep 2019 19:58:38 GMT",4.908,2_39_89_25_2019-09-01 18:31:10.036615,0002,CA-315,2-39-89-25,America/Los_Angeles,000000743,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":41,""modifiedAt"":""Sun, 01 Sep 2019 18:31:37 GMT"",""paymentRequired"":true,""requestedDeparture"":""Sun, 01 Sep 2019 19:12:10 GMT"",""userID"":743}]"
5d817a8df9af8b7830aa66d4,0039,"Sun, 01 Sep 2019 20:14:17 GMT","Sun, 01 Sep 2019 22:01:04 GMT","Sun, 01 Sep 2019 22:01:00 GMT",11.372,2_39_139_28_2019-09-01 20:14:16.655606,0002,CA-303,2-39-139-28,America/Los_Angeles,000003424,"[{""WhPerMile"":260,""kWhRequested"":26.0,""milesRequested"":100,""minutesAvailable"":336,""modifiedAt"":""Sun, 01 Sep 2019 20:16:42 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 01:50:17 GMT"",""userID"":3424}]"
5d817a8df9af8b7830aa66d5,0039,"Sun, 01 Sep 2019 23:17:56 GMT","Mon, 02 Sep 2019 00:19:48 GMT","Mon, 02 Sep 2019 00:19:28 GMT",6.703,2_39_79_383_2019-09-01 23:17:55.993651,0002,CA-492,2-39-79-383,America/Los_Angeles,000000724,"[{""WhPerMile"":288,""kWhRequested"":8.64,""milesRequested"":30,""minutesAvailable"":97,""modifiedAt"":""Sun, 01 Sep 2019 23:18:30 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 00:54:56 GMT"",""userID"":724},{""WhPerMile"":288,""kWhRequested"":8.64,""milesRequested"":30,""minutesAvailable"":97,""modifiedAt"":""Mon, 02 Sep 2019 00:19:25 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 00:54:56 GMT"",""userID"":724}]"
5d817a8df9af8b7830aa66d6,0039,"Mon, 02 Sep 2019 00:52:33 GMT","Mon, 02 Sep 2019 02:01:39 GMT","Mon, 02 Sep 2019 02:01:30 GMT",3.942,2_39_139_28_2019-09-02 00:52:33.250419,0002,CA-303,2-39-139-28,America/Los_Angeles,000000365,"[{""WhPerMile"":333,""kWhRequested"":9.99,""milesRequested"":30,""minutesAvailable"":205,""modifiedAt"":""Mon, 02 Sep 2019 00:52:50 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 04:17:33 GMT"",""userID"":365}]"
5d817a8df9af8b7830aa66d7,0039,"Mon, 02 Sep 2019 01:43:06 GMT","Mon, 02 Sep 2019 04:59:57 GMT","Mon, 02 Sep 2019 04:53:26 GMT",19.303,2_39_79_380_2019-09-02 01:43:06.400565,0002,CA-489,2-39-79-380,America/Los_Angeles,000000850,"[{""WhPerMile"":300,""kWhRequested"":30.0,""milesRequested"":100,""minutesAvailable"":720,""modifiedAt"":""Mon, 02 Sep 2019 01:43:26 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 13:43:06 GMT"",""userID"":850}]"
5d817a8df9af8b7830aa66d8,0039,"Mon, 02 Sep 2019 06:15:09 GMT","Mon, 02 Sep 2019 09:52:17 GMT","Mon, 02 Sep 2019 07:29:19 GMT",2.063,2_39_79_377_2019-09-02 06:15:08.701693,0002,CA-325,2-39-79-377,America/Los_Angeles,000001082,"[{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":291,""modifiedAt"":""Mon, 02 Sep 2019 06:15:36 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 11:06:09 GMT"",""userID"":1082}]"
5d82cc10f9af8b7bfe1b95f3,0039,"Mon, 02 Sep 2019 16:53:12 GMT","Tue, 03 Sep 2019 02:03:15 GMT","Tue, 03 Sep 2019 00:32:48 GMT",40.277,2_39_79_377_2019-09-02 16:53:12.194724,0002,CA-325,2-39-79-377,America/Los_Angeles,000000248,"[{""WhPerMile"":250,""kWhRequested"":42.5,""milesRequested"":170,""minutesAvailable"":522,""modifiedAt"":""Mon, 02 Sep 2019 16:53:26 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 01:35:12 GMT"",""userID"":248}]"
5d82cc10f9af8b7bfe1b95f4,0039,"Mon, 02 Sep 2019 19:25:56 GMT","Tue, 03 Sep 2019 02:25:41 GMT","Mon, 02 Sep 2019 22:42:07 GMT",19.151,2_39_79_379_2019-09-02 19:25:56.473004,0002,CA-327,2-39-79-379,America/Los_Angeles,000000850,"[{""WhPerMile"":300,""kWhRequested"":30.0,""milesRequested"":100,""minutesAvailable"":720,""modifiedAt"":""Mon, 02 Sep 2019 19:26:14 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 07:25:56 GMT"",""userID"":850}]"
5d82cc10f9af8b7bfe1b95f5,0039,"Mon, 02 Sep 2019 19:44:26 GMT","Mon, 02 Sep 2019 22:03:09 GMT","Mon, 02 Sep 2019 22:03:00 GMT",15.215,2_39_138_29_2019-09-02 19:44:25.623232,0002,CA-304,2-39-138-29,America/Los_Angeles,000003424,"[{""WhPerMile"":260,""kWhRequested"":23.4,""milesRequested"":90,""minutesAvailable"":336,""modifiedAt"":""Mon, 02 Sep 2019 19:44:40 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 01:20:26 GMT"",""userID"":3424}]"
5d82cc10f9af8b7bfe1b95f6,0039,"Mon, 02 Sep 2019 19:56:27 GMT","Mon, 02 Sep 2019 20:38:25 GMT","Mon, 02 Sep 2019 20:38:16 GMT",4.511,2_39_123_557_2019-09-02 19:56:26.772000,0002,CA-503,2-39-123-557,America/Los_Angeles,000000724,"[{""WhPerMile"":288,""kWhRequested"":5.76,""milesRequested"":20,""minutesAvailable"":63,""modifiedAt"":""Mon, 02 Sep 2019 19:56:36 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 20:59:27 GMT"",""userID"":724},{""WhPerMile"":288,""kWhRequested"":5.76,""milesRequested"":20,""minutesAvailable"":63,""modifiedAt"":""Mon, 02 Sep 2019 20:38:13 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 20:59:27 GMT"",""userID"":724}]"
5d82cc10f9af8b7bfe1b95f7,0039,"Mon, 02 Sep 2019 20:09:09 GMT","Tue, 03 Sep 2019 02:27:39 GMT","Mon, 02 Sep 2019 23:50:25 GMT",12.414,2_39_139_28_2019-09-02 20:09:08.963579,0002,CA-303,2-39-139-28,America/Los_Angeles,000001726,"[{""WhPerMile"":600,""kWhRequested"":78.0,""milesRequested"":130,""minutesAvailable"":425,""modifiedAt"":""Mon, 02 Sep 2019 20:10:00 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 03:14:09 GMT"",""userID"":1726}]"
5d82cc10f9af8b7bfe1b95f8,0039,"Mon, 02 Sep 2019 20:38:56 GMT","Tue, 03 Sep 2019 01:17:51 GMT","Mon, 02 Sep 2019 23:49:23 GMT",14.987,2_39_79_376_2019-09-02 20:38:55.799254,0002,CA-324,2-39-79-376,America/Los_Angeles,000000714,"[{""WhPerMile"":200,""kWhRequested"":16.0,""milesRequested"":80,""minutesAvailable"":233,""modifiedAt"":""Mon, 02 Sep 2019 20:39:44 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 00:31:56 GMT"",""userID"":714}]"
5d82cc10f9af8b7bfe1b95f9,0039,"Mon, 02 Sep 2019 20:51:34 GMT","Mon, 02 Sep 2019 21:51:08 GMT","Mon, 02 Sep 2019 21:47:42 GMT",2.897,2_39_129_17_2019-09-02 20:51:33.642211,0002,CA-307,2-39-129-17,America/Los_Angeles,000001202,"[{""WhPerMile"":400,""kWhRequested"":15.2,""milesRequested"":38,""minutesAvailable"":167,""modifiedAt"":""Mon, 02 Sep 2019 20:51:56 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 23:38:34 GMT"",""userID"":1202}]"
5d82cc10f9af8b7bfe1b95fa,0039,"Mon, 02 Sep 2019 20:58:57 GMT","Tue, 03 Sep 2019 00:51:23 GMT","Mon, 02 Sep 2019 22:56:22 GMT",5.999,2_39_95_27_2019-09-02 20:58:56.878386,0002,CA-319,2-39-95-27,America/Los_Angeles,000001222,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":72,""modifiedAt"":""Mon, 02 Sep 2019 20:59:12 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 22:10:57 GMT"",""userID"":1222}]"
5d82cc10f9af8b7bfe1b95fb,0039,"Mon, 02 Sep 2019 22:23:54 GMT","Mon, 02 Sep 2019 23:26:13 GMT","Mon, 02 Sep 2019 23:26:09 GMT",3.432,2_39_138_29_2019-09-02 22:23:52.945710,0002,CA-304,2-39-138-29,America/Los_Angeles,000001161,"[{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":74,""modifiedAt"":""Mon, 02 Sep 2019 22:23:53 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 23:37:54 GMT"",""userID"":1161},{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":74,""modifiedAt"":""Mon, 02 Sep 2019 22:24:02 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 23:37:54 GMT"",""userID"":1161},{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":74,""modifiedAt"":""Mon, 02 Sep 2019 22:24:18 GMT"",""paymentRequired"":true,""requestedDeparture"":""Mon, 02 Sep 2019 23:37:54 GMT"",""userID"":1161}]"
5d82cc10f9af8b7bfe1b95fc,0039,"Mon, 02 Sep 2019 22:33:35 GMT","Mon, 02 Sep 2019 23:30:16 GMT","Mon, 02 Sep 2019 23:30:00 GMT",6.048,2_39_128_18_2019-09-02 22:33:35.285739,0002,CA-308,2-39-128-18,America/Los_Angeles,000001957,"[{""WhPerMile"":400,""kWhRequested"":12.0,""milesRequested"":30,""minutesAvailable"":116,""modifiedAt"":""Mon, 02 Sep 2019 22:34:18 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 00:29:35 GMT"",""userID"":1957},{""WhPerMile"":400,""kWhRequested"":12.0,""milesRequested"":30,""minutesAvailable"":116,""modifiedAt"":""Mon, 02 Sep 2019 23:30:04 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 00:29:35 GMT"",""userID"":1957}]"
5d82cc10f9af8b7bfe1b95fd,0039,"Mon, 02 Sep 2019 23:14:58 GMT","Tue, 03 Sep 2019 01:03:16 GMT","Mon, 02 Sep 2019 23:48:13 GMT",1.222,2_39_89_25_2019-09-02 23:14:57.734689,0002,CA-315,2-39-89-25,America/Los_Angeles,000001746,"[{""WhPerMile"":600,""kWhRequested"":12.0,""milesRequested"":20,""minutesAvailable"":108,""modifiedAt"":""Mon, 02 Sep 2019 23:15:13 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 01:02:58 GMT"",""userID"":1746},{""WhPerMile"":600,""kWhRequested"":12.0,""milesRequested"":20,""minutesAvailable"":108,""modifiedAt"":""Tue, 03 Sep 2019 01:03:02 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 01:02:58 GMT"",""userID"":1746}]"
5d82cc10f9af8b7bfe1b95fe,0039,"Tue, 03 Sep 2019 01:08:09 GMT","Tue, 03 Sep 2019 01:46:57 GMT","Tue, 03 Sep 2019 01:46:53 GMT",4.316,2_39_131_30_2019-09-03 01:08:08.553047,0002,CA-305,2-39-131-30,America/Los_Angeles,000001133,"[{""WhPerMile"":400,""kWhRequested"":44.0,""milesRequested"":110,""minutesAvailable"":149,""modifiedAt"":""Tue, 03 Sep 2019 01:08:23 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 03:37:09 GMT"",""userID"":1133}]"
5d82cc10f9af8b7bfe1b95ff,0039,"Tue, 03 Sep 2019 05:25:56 GMT","Tue, 03 Sep 2019 14:11:38 GMT","Tue, 03 Sep 2019 11:53:26 GMT",37.265,2_39_91_437_2019-09-03 05:25:56.036086,0002,CA-317,2-39-91-437,America/Los_Angeles,000000292,"[{""WhPerMile"":200,""kWhRequested"":48.0,""milesRequested"":240,""minutesAvailable"":543,""modifiedAt"":""Tue, 03 Sep 2019 05:27:18 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 14:28:56 GMT"",""userID"":292}]"
5d841da2f9af8b08a9439b63,0039,"Tue, 03 Sep 2019 14:45:43 GMT","Tue, 03 Sep 2019 22:35:43 GMT","Tue, 03 Sep 2019 17:04:26 GMT",12.286,2_39_79_380_2019-09-03 14:45:43.427036,0002,CA-489,2-39-79-380,America/Los_Angeles,000000069,"[{""WhPerMile"":400,""kWhRequested"":40.0,""milesRequested"":100,""minutesAvailable"":388,""modifiedAt"":""Tue, 03 Sep 2019 14:46:01 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 21:13:43 GMT"",""userID"":69}]"
5d841da2f9af8b08a9439b64,0039,"Tue, 03 Sep 2019 15:29:39 GMT","Wed, 04 Sep 2019 00:34:47 GMT","Wed, 04 Sep 2019 00:20:06 GMT",34.484,2_39_78_366_2019-09-03 15:29:39.291098,0002,CA-323,2-39-78-366,America/Los_Angeles,000000569,"[{""WhPerMile"":300,""kWhRequested"":42.0,""milesRequested"":140,""minutesAvailable"":490,""modifiedAt"":""Tue, 03 Sep 2019 15:34:08 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 23:39:39 GMT"",""userID"":569}]"
5d841da2f9af8b08a9439b65,0039,"Tue, 03 Sep 2019 15:31:20 GMT","Wed, 04 Sep 2019 00:08:44 GMT","Tue, 03 Sep 2019 15:57:15 GMT",0.721,2_39_79_379_2019-09-03 15:31:19.783321,0002,CA-327,2-39-79-379,America/Los_Angeles,null,null
5d841da2f9af8b08a9439b66,0039,"Tue, 03 Sep 2019 15:35:26 GMT","Tue, 03 Sep 2019 23:56:33 GMT","Tue, 03 Sep 2019 21:31:01 GMT",24.098,2_39_78_367_2019-09-03 15:35:25.877399,0002,CA-494,2-39-78-367,America/Los_Angeles,000001470,"[{""WhPerMile"":292,""kWhRequested"":26.28,""milesRequested"":90,""minutesAvailable"":381,""modifiedAt"":""Tue, 03 Sep 2019 15:35:46 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 21:56:26 GMT"",""userID"":1470}]"
5d841da2f9af8b08a9439b67,0039,"Tue, 03 Sep 2019 15:53:17 GMT","Tue, 03 Sep 2019 23:58:06 GMT","Tue, 03 Sep 2019 17:13:55 GMT",3.941,2_39_79_377_2019-09-03 15:53:16.799047,0002,CA-325,2-39-79-377,America/Los_Angeles,000000858,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":223,""modifiedAt"":""Tue, 03 Sep 2019 15:54:27 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 19:36:17 GMT"",""userID"":858}]"
5d841da2f9af8b08a9439b68,0039,"Tue, 03 Sep 2019 15:59:04 GMT","Wed, 04 Sep 2019 01:46:07 GMT","Tue, 03 Sep 2019 20:54:22 GMT",16.371,2_39_131_30_2019-09-03 15:59:04.435031,0002,CA-305,2-39-131-30,America/Los_Angeles,000000712,"[{""WhPerMile"":600,""kWhRequested"":36.0,""milesRequested"":60,""minutesAvailable"":400,""modifiedAt"":""Tue, 03 Sep 2019 15:59:14 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 22:39:04 GMT"",""userID"":712}]"
5d841da2f9af8b08a9439b69,0039,"Tue, 03 Sep 2019 16:00:20 GMT","Tue, 03 Sep 2019 23:11:52 GMT","Tue, 03 Sep 2019 22:55:07 GMT",13.446,2_39_79_381_2019-09-03 16:00:20.016182,0002,CA-490,2-39-79-381,America/Los_Angeles,000001001,"[{""WhPerMile"":600,""kWhRequested"":12.0,""milesRequested"":20,""minutesAvailable"":129,""modifiedAt"":""Tue, 03 Sep 2019 16:00:23 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 18:09:20 GMT"",""userID"":1001}]"
5d841da2f9af8b08a9439b6a,0039,"Tue, 03 Sep 2019 16:00:22 GMT","Wed, 04 Sep 2019 01:06:54 GMT","Wed, 04 Sep 2019 01:07:54 GMT",10.623,2_39_78_362_2019-09-03 16:00:22.058192,0002,CA-496,2-39-78-362,America/Los_Angeles,000000564,"[{""WhPerMile"":231,""kWhRequested"":25.41,""milesRequested"":110,""minutesAvailable"":461,""modifiedAt"":""Tue, 03 Sep 2019 16:24:54 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 23:41:22 GMT"",""userID"":564}]"
5d841da2f9af8b08a9439b6b,0039,"Tue, 03 Sep 2019 16:05:49 GMT","Tue, 03 Sep 2019 19:33:34 GMT","Tue, 03 Sep 2019 17:33:49 GMT",4.527,2_39_123_23_2019-09-03 16:05:49.232539,0002,CA-313,2-39-123-23,America/Los_Angeles,000000562,"[{""WhPerMile"":250,""kWhRequested"":5.0,""milesRequested"":20,""minutesAvailable"":186,""modifiedAt"":""Tue, 03 Sep 2019 16:06:28 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 19:11:49 GMT"",""userID"":562}]"
5d841da2f9af8b08a9439b6c,0039,"Tue, 03 Sep 2019 16:08:44 GMT","Tue, 03 Sep 2019 22:50:06 GMT","Tue, 03 Sep 2019 16:48:47 GMT",3.861,2_39_91_437_2019-09-03 16:08:32.811204,0002,CA-317,2-39-91-437,America/Los_Angeles,000002461,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":351,""modifiedAt"":""Tue, 03 Sep 2019 16:08:43 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 21:59:44 GMT"",""userID"":2461}]"
5d841da2f9af8b08a9439b6d,0039,"Tue, 03 Sep 2019 16:16:15 GMT","Wed, 04 Sep 2019 02:30:04 GMT","Tue, 03 Sep 2019 17:43:35 GMT",4.558,2_39_125_21_2019-09-03 16:16:14.554940,0002,CA-311,2-39-125-21,America/Los_Angeles,000000567,"[{""WhPerMile"":333,""kWhRequested"":6.66,""milesRequested"":20,""minutesAvailable"":441,""modifiedAt"":""Tue, 03 Sep 2019 16:16:26 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 23:37:15 GMT"",""userID"":567}]"
5d841da2f9af8b08a9439b6e,0039,"Tue, 03 Sep 2019 16:17:23 GMT","Wed, 04 Sep 2019 02:19:43 GMT","Tue, 03 Sep 2019 18:45:16 GMT",10.901,2_39_89_25_2019-09-03 16:17:22.570142,0002,CA-315,2-39-89-25,America/Los_Angeles,000000958,"[{""WhPerMile"":200,""kWhRequested"":20.0,""milesRequested"":100,""minutesAvailable"":570,""modifiedAt"":""Tue, 03 Sep 2019 16:17:32 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 04 Sep 2019 01:47:23 GMT"",""userID"":958}]"
5d841da2f9af8b08a9439b6f,0039,"Tue, 03 Sep 2019 16:31:12 GMT","Wed, 04 Sep 2019 00:51:25 GMT","Tue, 03 Sep 2019 18:42:45 GMT",13.005,2_39_92_442_2019-09-03 16:31:12.303588,0002,CA-498,2-39-92-442,America/Los_Angeles,000002961,"[{""WhPerMile"":227,""kWhRequested"":45.4,""milesRequested"":200,""minutesAvailable"":509,""modifiedAt"":""Tue, 03 Sep 2019 16:49:24 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 04 Sep 2019 01:00:12 GMT"",""userID"":2961}]"
5d841da2f9af8b08a9439b70,0039,"Tue, 03 Sep 2019 16:34:42 GMT","Wed, 04 Sep 2019 01:28:29 GMT","Tue, 03 Sep 2019 18:10:41 GMT",2.893,2_39_78_361_2019-09-03 16:34:42.089968,0002,CA-493,2-39-78-361,America/Los_Angeles,000002149,"[{""WhPerMile"":300,""kWhRequested"":3.0,""milesRequested"":10,""minutesAvailable"":339,""modifiedAt"":""Tue, 03 Sep 2019 16:37:09 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 22:13:42 GMT"",""userID"":2149}]"
5d841da2f9af8b08a9439b71,0039,"Tue, 03 Sep 2019 17:01:22 GMT","Wed, 04 Sep 2019 02:18:28 GMT","Tue, 03 Sep 2019 21:05:06 GMT",7.137,2_39_88_438_2019-09-03 17:01:22.357902,0002,CA-502,2-39-88-438,America/Los_Angeles,000000558,"[{""WhPerMile"":200,""kWhRequested"":8.0,""milesRequested"":40,""minutesAvailable"":120,""modifiedAt"":""Tue, 03 Sep 2019 17:01:35 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 19:01:22 GMT"",""userID"":558}]"
5d841da2f9af8b08a9439b72,0039,"Tue, 03 Sep 2019 17:04:26 GMT","Tue, 03 Sep 2019 18:29:49 GMT","Tue, 03 Sep 2019 18:29:44 GMT",9.339,2_39_79_378_2019-09-03 17:04:26.465824,0002,CA-326,2-39-79-378,America/Los_Angeles,000003176,"[{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":254,""modifiedAt"":""Tue, 03 Sep 2019 17:05:54 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 21:18:26 GMT"",""userID"":3176}]"
5d841da2f9af8b08a9439b73,0039,"Tue, 03 Sep 2019 17:09:36 GMT","Wed, 04 Sep 2019 01:42:21 GMT","Tue, 03 Sep 2019 18:10:56 GMT",2.624,2_39_95_27_2019-09-03 17:09:36.319467,0002,CA-319,2-39-95-27,America/Los_Angeles,000002170,"[{""WhPerMile"":357,""kWhRequested"":21.42,""milesRequested"":60,""minutesAvailable"":191,""modifiedAt"":""Tue, 03 Sep 2019 17:10:51 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 20:20:36 GMT"",""userID"":2170}]"
5d841da2f9af8b08a9439b74,0039,"Tue, 03 Sep 2019 17:10:44 GMT","Wed, 04 Sep 2019 00:38:15 GMT","Tue, 03 Sep 2019 18:46:07 GMT",2.597,2_39_78_365_2019-09-03 17:10:43.776111,0002,CA-321,2-39-78-365,America/Los_Angeles,000000891,"[{""WhPerMile"":500,""kWhRequested"":10.0,""milesRequested"":20,""minutesAvailable"":304,""modifiedAt"":""Tue, 03 Sep 2019 17:10:55 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 22:14:44 GMT"",""userID"":891}]"
5d841da2f9af8b08a9439b75,0039,"Tue, 03 Sep 2019 17:11:51 GMT","Wed, 04 Sep 2019 01:01:04 GMT","Tue, 03 Sep 2019 18:50:18 GMT",9.399,2_39_91_441_2019-09-03 17:11:51.488297,0002,CA-499,2-39-91-441,America/Los_Angeles,000001095,"[{""WhPerMile"":469,""kWhRequested"":14.07,""milesRequested"":30,""minutesAvailable"":425,""modifiedAt"":""Tue, 03 Sep 2019 17:13:24 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 04 Sep 2019 00:16:51 GMT"",""userID"":1095}]"
5d841da2f9af8b08a9439b76,0039,"Tue, 03 Sep 2019 17:15:49 GMT","Wed, 04 Sep 2019 00:51:18 GMT","Tue, 03 Sep 2019 19:13:02 GMT",5.995,2_39_90_440_2019-09-03 17:15:48.834009,0002,CA-500,2-39-90-440,America/Los_Angeles,000000743,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":405,""modifiedAt"":""Tue, 03 Sep 2019 17:16:28 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 04 Sep 2019 00:00:49 GMT"",""userID"":743}]"
5d841da2f9af8b08a9439b77,0039,"Tue, 03 Sep 2019 17:25:19 GMT","Tue, 03 Sep 2019 20:18:33 GMT","Tue, 03 Sep 2019 18:29:42 GMT",1.85,2_39_78_360_2019-09-03 17:25:18.523648,0002,CA-322,2-39-78-360,America/Los_Angeles,null,null
5d841da2f9af8b08a9439b78,0039,"Tue, 03 Sep 2019 17:44:40 GMT","Tue, 03 Sep 2019 23:56:27 GMT","Tue, 03 Sep 2019 19:47:09 GMT",6.804,2_39_78_363_2019-09-03 17:44:39.773255,0002,CA-320,2-39-78-363,America/Los_Angeles,000001124,"[{""WhPerMile"":450,""kWhRequested"":9.0,""milesRequested"":20,""minutesAvailable"":30,""modifiedAt"":""Tue, 03 Sep 2019 17:44:56 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 18:14:40 GMT"",""userID"":1124}]"
5d841da2f9af8b08a9439b79,0039,"Tue, 03 Sep 2019 18:42:06 GMT","Tue, 03 Sep 2019 19:18:49 GMT","Tue, 03 Sep 2019 19:18:44 GMT",2.102,2_39_79_378_2019-09-03 18:42:05.932176,0002,CA-326,2-39-79-378,America/Los_Angeles,000000515,"[{""WhPerMile"":250,""kWhRequested"":10.0,""milesRequested"":40,""minutesAvailable"":263,""modifiedAt"":""Tue, 03 Sep 2019 18:43:04 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 23:05:06 GMT"",""userID"":515},{""WhPerMile"":250,""kWhRequested"":10.0,""milesRequested"":40,""minutesAvailable"":70,""modifiedAt"":""Tue, 03 Sep 2019 18:53:18 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 19:52:06 GMT"",""userID"":515}]"
5d841da2f9af8b08a9439b7a,0039,"Tue, 03 Sep 2019 18:45:44 GMT","Wed, 04 Sep 2019 01:28:09 GMT","Wed, 04 Sep 2019 00:18:27 GMT",24.123,2_39_92_436_2019-09-03 18:45:44.182118,0002,CA-318,2-39-92-436,America/Los_Angeles,000001123,"[{""WhPerMile"":346,""kWhRequested"":24.22,""milesRequested"":70,""minutesAvailable"":207,""modifiedAt"":""Tue, 03 Sep 2019 18:47:57 GMT"",""paymentRequired"":true,""requestedDeparture"":""Tue, 03 Sep 2019 22:12:44 GMT"",""userID"":1123}]"
